0,15885,18080,82,18337,18583,1,20193,17955,18541,1,7315,0
15745,0,4121,15782,4310,3937,15745,5096,5997,3895,15745,10793,15745
17981,4274,0,18018,2289,2535,17981,3531,3002,2493,17981,13029,17981
81,15921,18116,0,18373,18619,81,20229,17991,18577,81,7351,81
18405,3906,2413,18442,0,132,18405,2110,4157,202,18405,13453,18405
18903,3822,2495,18940,132,0,18903,2026,4239,118,18903,13951,18903
1,15885,18080,82,18337,18583,0,20193,17955,18541,1,7315,1
20088,5552,2503,20125,1903,2149,20088,0,4247,2107,20088,13255,20088
17875,4168,290,17912,2183,2429,17875,3425,0,2387,17875,12923,17875
18861,3780,2623,18898,202,118,18861,1984,4367,0,18861,13909,18861
1,15885,18080,82,18337,18583,1,20193,17955,18541,0,7315,1
7380,11319,13514,7417,13771,14017,7380,15627,11834,13975,7380,0,7380
0,15885,18080,82,18337,18583,1,20193,17955,18541,1,7315,0
