0,17717,14741,17717,9467,13577,9332,16299,9210,13956,1102,10027,17754,8341,3814,17762,2838,17756,11605,17514
17681,0,3490,1,9591,7798,9844,5176,9722,8177,18089,10153,82,10359,20510,44,16637,38,7716,684
19745,3479,0,3479,11655,1464,9070,4250,8948,1843,20153,12217,3516,12423,22574,3524,18701,3518,6238,3276
17681,1,3490,0,9591,7798,9844,5176,9722,8177,18089,10153,82,10359,20510,44,16637,38,7716,684
9539,9527,6551,9527,0,5387,1702,8109,1580,5766,9947,2011,9564,2217,12368,9572,8495,9566,5228,9324
18677,4473,1497,4473,10587,0,10840,3055,10718,712,19085,11149,4510,11355,25808,4518,17633,4512,8712,4270
9118,8936,5960,8936,684,4796,0,7518,404,5175,9526,1246,8973,1796,11947,8981,8074,8975,4650,8733
17683,1417,3492,1417,9593,7800,9846,0,9724,8179,18091,10155,1454,10361,20512,1462,16639,1456,7718,1214
8996,9059,6083,9059,807,4919,123,7641,0,5298,9404,1369,9096,1674,11825,9104,7952,9098,4773,8856
19048,4844,1868,4844,10958,704,11211,3426,11089,0,19456,11520,4881,11726,26179,4889,18004,4883,9083,4641
1081,16713,13737,16713,8463,12573,8328,15295,8206,12952,0,9023,16750,8401,4369,16758,1834,16752,10601,16510
13288,7682,4706,7682,5198,3542,5451,6264,5329,3921,13696,0,7719,5966,16117,7727,12244,7721,3396,7479
17717,81,3526,81,9627,7834,9880,5212,9758,8213,18125,10189,0,10395,20546,126,16673,120,7752,717
7321,11918,8942,11918,3668,7778,3411,10500,3289,8157,7729,4228,11955,0,10150,11963,6277,11957,5806,11715
4129,20971,17995,20971,12721,16831,12464,19553,12342,17210,4733,13281,21008,11587,0,21016,6469,21010,14859,20768
17725,1,3534,38,9635,7842,9888,5220,9766,8221,18133,10197,126,10403,20554,0,16681,6,7760,639
6929,15424,12448,15424,7172,11284,6493,14006,6371,11663,7337,7734,15461,6945,10217,15469,0,15463,8886,15221
17719,1,3528,33,9629,7836,9882,5214,9760,8215,18127,10191,120,10397,20548,6,16675,0,7754,645
11133,11121,8145,11121,3043,6981,3296,9703,3174,7360,11541,3605,11158,3811,13962,11166,10089,11160,0,10918
17477,202,3286,202,9387,7594,9640,4972,9518,7973,17885,9949,239,10155,20306,247,16433,241,7512,0
