0,17279,7504,7729,13850,7823,7625,16266,16924,0
17161,0,12196,11035,4149,13046,11888,1736,851,17161
7222,12555,0,2189,9126,3107,959,11542,12200,7222
6622,11826,2124,0,8397,2507,2245,10813,11471,6622
13010,5628,8045,6884,0,8895,7737,4615,5273,13010
7484,12825,3050,3275,9396,0,3171,11812,12470,7484
6263,11596,1906,2131,8167,2148,0,10583,11241,6263
17022,1013,12057,10896,4010,12907,11749,0,658,17022
16985,1003,12020,10859,3973,12870,11712,1269,0,16985
0,17279,7504,7729,13850,7823,7625,16266,16924,0
