0,18337,20084,44,20708,17669,82,1,19599,15885,20419,19558,1,19622,12391,7504,15806,0
18405,0,2222,18450,1789,2012,18442,18405,2256,3906,3076,1458,18405,1522,6641,13440,3827,18405
20351,2518,0,20396,1773,3497,20388,20351,2339,5270,2240,1124,20351,1188,8005,13882,5191,20351
44,18381,20128,0,20752,17713,126,38,19643,15929,20463,19602,1,19666,12435,7548,15850,44
19587,1789,2223,19632,0,2489,19624,19587,428,5438,1602,1344,19587,1070,7418,12874,5359,19587
17705,2013,3176,17750,2743,0,17742,17705,2432,3998,3252,2632,17705,2523,5536,12740,3919,17705
81,18373,20120,126,20744,17705,0,81,19635,15921,20455,19594,81,19658,12427,7540,15842,81
1,18337,20084,44,20708,17669,82,0,19599,15885,20419,19558,1,19622,12391,7504,15806,1
19668,2249,2726,19713,548,2437,19705,19668,0,5898,996,1910,19668,1974,7499,12822,5819,19668
15745,4310,4970,15790,5594,3710,15782,15745,6105,0,6087,4444,15745,4508,3576,10780,79,15745
20488,3069,2467,20533,1856,3257,20525,20488,996,6049,0,1937,20488,2001,8319,13642,5970,20488
19487,1718,1062,19532,1091,2624,19524,19487,1657,4406,1937,0,19487,21,7141,13009,4327,19487
1,18337,20084,44,20708,17669,82,1,19599,15885,20419,19558,0,19622,12391,7504,15806,1
19508,1739,1083,19553,1070,2527,19545,19508,1636,4427,1958,21,19508,0,7162,12912,4348,19508
12961,6054,7693,13006,8317,5386,12998,12961,7316,3602,8136,7167,12961,7231,0,7996,3523,12961
7222,13613,15360,7267,15984,12945,7259,7222,14875,11161,15695,14834,7222,14898,7667,0,11082,7222
15691,4231,4891,15736,5515,3656,15728,15691,6026,79,6008,4365,15691,4429,3522,10726,0,15691
0,18337,20084,44,20708,17669,82,1,19599,15885,20419,19558,1,19622,12391,7504,15806,0
