image,count,Latitude,Longitude,time,type,score,address
(유)오성알씨.png,0,36.4216090560865,127.423704564947,2000-01-01 03:38:35.642636,PP bag,0,대전 대덕구 상서동 418-3
202411061423-36-314851-127-347123_jpg.rf.6b1796d5ce76d550ec8c684a8c23fafd.jpg,5,36.314851,127.347123,2024-11-06 14:23:00.000000,PP bag,0.395,대전 서구 도안동 1369
202411081236-36-423913-127-407165-2_jpg.rf.f6e2a098f84601afac7d2350a475d4cc.jpg,21,36.423913,127.407165,2024-11-08 12:36:00.000000,PP bag,0.6633809523809524,대전 유성구 용산동 533-1
