0,19051,19009,18337,15871,18344,44,18206,1,17812,1,82,13851,38,10141,13884,17238,0
18903,0,118,132,3731,379,18948,212,18903,2646,18903,18940,5216,18942,10373,5123,1669,18903
18861,118,0,202,3689,449,18906,282,18861,2774,18861,18898,5174,18900,10331,5081,1829,18861
18405,132,202,0,3815,297,18450,130,18405,2564,18405,18442,4644,18444,9875,4551,1587,18405
15645,4037,3995,4278,0,4285,15690,4147,15645,3753,15645,15682,1884,15684,7115,1791,3179,15645
18412,379,789,297,4138,0,18457,166,18412,2571,18412,18449,4651,18451,9882,4558,1594,18412
44,19095,19053,18381,15915,18388,0,18250,38,17856,1,126,13895,6,10185,13928,17282,44
18274,212,282,130,4000,166,18319,0,18274,2433,18274,18311,4513,18313,9744,4420,1456,18274
1,19051,19009,18337,15871,18344,44,18206,0,17812,1,82,13851,38,10141,13884,17238,1
18132,2686,2644,2440,4411,2447,18177,2309,18132,0,18132,18169,4371,18171,9602,4278,1314,18132
1,19051,19009,18337,15871,18344,44,18206,1,17812,0,82,13851,38,10141,13884,17238,1
81,19087,18577,18373,15907,18380,126,18242,81,17848,81,0,13887,120,10177,13920,17274,81
14510,5018,4976,4772,2306,4779,14555,4641,14510,4247,14510,14547,0,14549,5980,319,3673,14510
38,18621,18579,18375,15909,18382,6,18244,33,17850,1,120,13889,0,10179,13922,17276,38
12135,8440,8398,8194,5728,8201,12180,8063,12135,7669,12135,12172,3708,12174,0,3741,7095,12135
14018,4921,4879,4675,2209,4682,14063,4544,14018,4150,14018,14055,189,14057,5488,0,3576,14018
17120,1681,1639,1435,3399,1442,17165,1304,17120,910,17120,17157,3359,17159,8590,3266,0,17120
0,18583,18541,18337,15871,18344,44,18206,1,17812,1,82,13851,38,10141,13884,17238,0
