0,1,17875,18541,18583,18344,17238,1,18206,17732,18590,1,17895,44,0
1,0,17875,18541,18583,18344,17238,1,18206,17732,18590,1,17895,44,1
18073,18073,0,2478,2520,2281,1255,18073,2143,637,2527,18073,1264,18118,18073
18861,18861,2460,0,118,449,1829,18861,282,2317,695,18861,1838,18906,18861
18903,18903,2300,118,0,379,1669,18903,212,2157,625,18903,1678,18948,18903
18412,18412,2225,789,379,0,1594,18412,166,2082,95,18412,1603,18457,18412
17120,17120,973,1639,1681,1442,0,17120,1304,830,1688,17120,311,17165,17120
1,1,17875,18541,18583,18344,17238,0,18206,17732,18590,1,17895,44,1
18274,18274,2087,282,212,166,1456,18274,0,1944,412,18274,1465,18319,18274
17768,17768,1076,2280,2322,2083,950,17768,1945,0,2329,17768,959,17813,17768
18316,18316,2129,693,283,95,1498,18316,70,1986,0,18316,1507,18361,18316
1,1,17875,18541,18583,18344,17238,1,18206,17732,18590,0,17895,44,1
16808,16808,2232,2898,2940,2701,494,16808,2563,2089,2947,16808,0,16853,16808
44,38,17919,18585,18627,18388,17282,12,18250,17776,18634,1,17939,0,44
0,1,17875,18541,18583,18344,17238,1,18206,17732,18590,1,17895,44,0
