0,1,20248,44,17691,17997,20172,82,18992,91,0
1,0,20248,44,17691,17997,20172,82,18992,91,1
20317,20317,0,20362,3108,2649,76,20354,1949,20397,20317
44,38,20292,0,17735,18041,20216,126,19036,91,44
17727,17727,3103,17772,0,583,3027,17764,2209,17807,17727
17668,17668,2981,17713,459,0,2905,17705,2087,17748,17668
20241,20241,76,20286,3032,2573,0,20278,1873,20321,20241
81,81,20284,126,17727,18033,20208,0,19028,103,81
19031,19031,1583,19076,2213,1754,1507,19068,0,19111,19031
90,90,20327,91,17770,18076,20251,103,19071,0,90
0,1,20248,44,17691,17997,20172,82,18992,91,0
