0,1,44,16803,17294,15914,15919,1,21061,20278,20245,16828,7504,82,17279,17790,0
1,0,44,16803,17294,15914,15919,1,21061,20278,20245,16828,7504,82,17279,17790,1
44,38,0,16847,17338,15958,15963,1,21105,20322,20289,16872,7548,126,17323,17834,44
16864,16864,16909,0,1259,3186,3191,16864,4254,3471,3438,25,11899,16901,1244,1755,16864
17252,17252,17297,1067,0,3574,3579,17252,4542,3500,3467,973,12287,17289,90,1020,17252
15328,15328,15373,2427,2918,0,480,15328,6066,5283,5250,2452,10363,15365,2903,3414,15328
15693,15693,15738,2792,3283,498,0,15693,6016,5233,5200,2817,10728,15730,3268,3779,15693
1,1,44,16803,17294,15914,15919,0,21078,20295,20262,16828,7504,82,17279,17790,1
21310,21310,21355,4408,4619,6331,6186,21310,0,1283,1250,4314,14535,21347,4604,4271,21310
20224,20224,20269,3043,3535,5245,5100,20224,1283,0,127,2949,13451,20261,3520,3187,20224
20191,20191,20236,3382,3487,5212,5067,20191,1250,127,0,3288,13755,20228,3472,3491,20191
16890,16890,16935,25,1050,3212,3217,16890,4161,3378,3345,0,11925,16927,1035,1781,16890
7222,7222,7267,12079,12570,11190,11195,7222,16354,15571,15538,12104,0,7259,12555,13066,7222
81,81,126,16839,17330,15950,15955,81,21114,20331,20298,16864,7540,0,17315,17826,81
17161,17161,17206,976,90,3483,3488,17161,4451,3409,3376,882,12196,17198,0,929,17161
17832,17832,17877,1640,1070,4154,4159,17832,4272,3180,3497,1546,12867,17869,1055,0,17832
0,1,44,16803,17294,15914,15919,1,21078,20295,20262,16828,7504,82,17279,17790,0
