0,1,3580,18337,16167,18583,17650,17196,15885,15725,18541,59,11982,91,15848,1,17294,17640,0
1,0,3580,18337,16167,18583,17650,17196,15885,15725,18541,59,11982,91,15848,1,17294,17640,1
3014,3014,0,20188,18018,20434,19501,19047,17736,17576,20392,2955,13833,3094,17699,3014,19145,19491,3014
18405,18405,20739,0,3510,132,1993,1545,3906,4151,202,18346,8109,18485,4274,18405,1643,1983,18405
16244,16244,18578,3474,0,3720,2787,2333,2537,2377,3678,16185,5948,16324,2500,16244,2431,2777,16244
18903,18903,21237,132,3592,0,2075,1627,3822,4067,118,18844,8607,18983,4190,18903,1725,2065,18903
17686,17686,20020,1994,2791,2240,0,826,3979,3819,2198,17627,7390,17766,3942,17686,924,454,17686
17230,17230,19564,1545,2335,1791,858,0,3523,3363,1749,17171,6934,17310,3486,17230,169,848,17230
15745,15745,18079,4310,2208,3937,3691,3237,0,519,3895,15686,5449,15825,447,15745,3335,3681,15745
16132,16132,18466,3987,2595,3614,4078,3624,418,0,3572,16073,5836,16212,73,16132,3722,4068,16132
18861,18861,21195,202,3752,118,2235,1787,3780,4025,0,18802,8565,18941,4148,18861,1885,2225,18861
58,58,3520,18277,16107,18523,17590,17136,15825,15665,18481,0,11922,138,15788,58,17234,17580,58
10296,10296,12630,9962,7792,9525,9275,8821,7510,7350,9483,10237,0,10376,7473,10296,8919,9265,10296
90,90,3659,18416,16246,18662,17729,17275,15964,15804,18620,138,12061,0,15927,90,17373,17719,90
16060,16060,18394,3915,2523,3542,4006,3552,492,73,3500,16001,5764,16140,0,16060,3650,3996,16060
1,1,3580,18337,16167,18583,17650,17196,15885,15725,18541,59,11982,91,15848,0,17294,17640,1
17252,17252,19586,1567,2357,1813,880,169,3545,3385,1771,17193,6956,17332,3508,17252,0,870,17252
18202,18202,20536,2403,3307,2649,952,1342,4495,4335,2607,18143,7906,18282,4458,18202,1440,0,18202
0,1,3580,18337,16167,18583,17650,17196,15885,15725,18541,59,11982,91,15848,1,17294,17640,0
